seed,l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,reopen,voc_mean,sla_2min
12366,8,4,2374,2078,555.0517454892938,3660.659489528396,0.40654300030471396,0.760827718960539,0.026467757459095284,3.424454235267597,0.04090471607314726
12367,8,4,2309,2093,571.4556437018201,3513.206113775521,0.41630331945758725,0.7673196368848543,0.017677974199713332,3.4655166683473935,0.04730052556139513
12368,8,4,2417,2168,530.6341271239606,3273.155224815424,0.42710512046898486,0.7712177121771218,0.01429889298892989,3.4594572490565225,0.041051660516605165
12369,8,4,2385,2128,500.72515216843186,3357.8055887770806,0.4135420521166472,0.7664473684210527,0.020676691729323307,3.442081418969634,0.047932330827067667
12370,8,4,2326,2107,598.7957653460807,3774.1420162170784,0.41704113192210823,0.7451352634076887,0.01566207878500237,3.406747797159522,0.04271476032273375
12371,8,4,2384,2155,551.3982863646589,3474.592037718328,0.4225812903469839,0.7665893271461717,0.02459396751740139,3.4364462794356188,0.04501160092807425
12372,8,4,2322,2113,461.1851222199106,2969.4159369871977,0.41263573517434904,0.7572172266919073,0.014671083767155703,3.437364650596628,0.043066729768102226
12373,8,4,2370,2105,530.4190201243614,3637.6238770897608,0.40453174069460457,0.7558194774346794,0.021377672209026127,3.431822140271253,0.0494061757719715
12374,8,4,2367,2164,548.5685071826562,3589.7722963790898,0.4137870373081579,0.7301293900184843,0.02264325323475046,3.3879288200683577,0.04343807763401109
12345,8,6,2697,2419,501.1239970538547,2726.329239501566,0.47848138172213756,0.6825134353038446,0.03224472922695329,3.2926035258074475,0.03844563869367507
12346,8,6,2703,2424,442.34673912829027,2348.1582726895635,0.48900806774413785,0.6716171617161716,0.028052805280528052,3.2638598060275625,0.04414191419141914
12347,8,6,2597,2377,466.86827566835444,2637.9370178452778,0.46171710083502904,0.6886832141354648,0.02482120319730753,3.3235729015890056,0.03954564577198149
12348,8,6,2547,2351,491.304835699331,2647.8830639601674,0.4652158924504933,0.6707783921735432,0.02467035304125904,3.2701009154675917,0.03700552956188856
12349,8,6,2605,2394,483.56713446706004,2603.48654045096,0.46907504442017117,0.6733500417710944,0.030492898913951544,3.2707751439325965,0.03634085213032581
12350,8,6,2685,2391,532.9524323715372,2678.496994985435,0.4696408612543947,0.670849017147637,0.026348808030112924,3.280531215659741,0.04182350480970305
12351,8,6,2650,2416,484.5147903274015,2602.633627520419,0.45602992781747925,0.6804635761589404,0.028559602649006623,3.2936567866928566,0.04428807947019867
12352,8,6,2553,2303,523.8848869516758,2531.6343791358936,0.4519814396211751,0.6574033868866695,0.022579244463742945,3.2465076714889674,0.03603994789405124
